iter	Passed	Remaining
0	146	102743
1	151	52896
2	155	36219
3	159	27800
4	163	22767
5	167	19325
6	170	16847
7	173	15050
8	177	13639
9	181	12515
10	184	11547
11	187	10749
12	190	10083
13	194	9514
14	198	9044
15	201	8608
16	205	8236
17	208	7910
18	212	7614
19	215	7331
20	218	7078
21	222	6857
22	225	6643
23	228	6450
24	232	6282
25	236	6125
26	239	5976
27	242	5826
28	246	5702
29	249	5575
30	252	5455
31	256	5347
32	259	5247
33	263	5155
34	266	5064
35	269	4976
36	273	4899
37	276	4819
38	280	4752
39	283	4676
40	286	4608
41	289	4540
42	292	4475
43	296	4419
44	299	4359
45	302	4305
46	305	4249
47	309	4200
48	312	4151
49	315	4107
50	320	4078
51	324	4040
52	328	4006
53	331	3964
54	335	3929
55	338	3889
56	341	3857
57	345	3829
58	349	3801
59	353	3774
60	357	3742
61	361	3718
62	364	3688
63	368	3660
64	371	3629
65	375	3604
66	378	3576
67	382	3553
68	386	3532
69	389	3509
70	393	3484
71	396	3458
72	399	3433
73	403	3409
74	406	3387
75	410	3368
76	413	3349
77	418	3334
78	421	3312
79	424	3290
80	427	3269
81	432	3256
82	435	3235
83	438	3216
84	442	3198
85	445	3180
86	449	3164
87	452	3146
88	455	3130
89	459	3113
90	462	3094
91	466	3080
92	469	3064
93	472	3049
94	476	3032
95	479	3016
96	483	3005
97	487	2992
98	490	2979
99	494	2964
100	498	2953
101	501	2938
102	504	2926
103	509	2918
104	513	2907
105	516	2893
106	519	2880
107	523	2869
108	526	2855
109	529	2840
110	533	2828
111	536	2814
112	540	2805
113	544	2797
114	548	2788
115	551	2777
116	555	2765
117	558	2756
118	562	2747
119	566	2738
120	570	2731
121	574	2722
122	578	2712
123	582	2703
124	585	2693
125	589	2685
126	593	2678
127	597	2670
128	601	2661
129	605	2653
130	608	2642
131	611	2631
132	615	2622
133	619	2615
134	622	2605
135	625	2595
136	629	2588
137	632	2577
138	636	2568
139	640	2560
140	643	2552
141	647	2542
142	650	2535
143	654	2526
144	657	2516
145	661	2509
