iter	RMSE
0	15.74257345
1	15.07663551
2	14.45483825
3	13.84906424
4	13.28741607
5	12.76198997
6	12.24565055
7	11.76315137
8	11.32602336
9	10.8932453
10	10.4966505
11	10.12125077
12	9.755735277
13	9.415066395
14	9.103834504
15	8.803734065
16	8.522452814
17	8.246744674
18	7.992756089
19	7.756016147
20	7.539347091
21	7.340890266
22	7.158875377
23	6.974038796
24	6.803875183
25	6.656509698
26	6.507586366
27	6.371242036
28	6.249248236
29	6.134881229
30	6.030386738
31	5.931124338
32	5.829182503
33	5.735732083
34	5.649674187
35	5.569599428
36	5.486443465
37	5.418506419
38	5.351068862
39	5.285604524
40	5.222296637
41	5.165005157
42	5.105743196
43	5.058489612
44	5.007037302
45	4.962194333
46	4.918187264
47	4.879405367
48	4.844997263
49	4.812169224
50	4.773871688
51	4.739172553
52	4.704691097
53	4.671066195
54	4.647410014
55	4.623801986
56	4.592251367
57	4.564436276
58	4.54031519
59	4.515418928
60	4.487755273
61	4.465580625
62	4.445308255
63	4.425583107
64	4.404764343
65	4.382497545
66	4.357420313
67	4.336486162
68	4.31336143
69	4.289369627
70	4.26982223
71	4.251180628
72	4.236864269
73	4.224269973
74	4.212092476
75	4.200234449
76	4.18884828
77	4.174904816
78	4.159519596
79	4.150235238
80	4.139194787
81	4.122792491
82	4.11320122
83	4.098092081
84	4.088853269
85	4.059166865
86	4.047753912
87	4.037485247
88	4.020133455
89	4.001710538
90	3.993553191
91	3.97046329
92	3.961468781
93	3.95118273
94	3.943154858
95	3.932562525
96	3.914595257
97	3.906215721
98	3.899832018
99	3.893279128
100	3.886388829
101	3.880663752
102	3.873724263
103	3.868288777
104	3.861722162
105	3.854266982
106	3.842607803
107	3.83326426
108	3.826486
109	3.81233166
110	3.805193709
111	3.798686837
112	3.78850451
113	3.776862715
114	3.770808766
115	3.763380867
116	3.758252135
117	3.753193931
118	3.748838949
119	3.740576518
120	3.732279214
121	3.726368364
122	3.720562175
123	3.715306952
124	3.70990592
125	3.699630865
126	3.69309129
127	3.687036118
128	3.683353661
129	3.677651754
130	3.672222374
131	3.667486151
132	3.658035151
133	3.652849609
134	3.649225765
135	3.643569252
136	3.638341132
137	3.628020384
138	3.626134021
139	3.620895382
140	3.617442325
141	3.609456638
142	3.603530379
143	3.598082005
144	3.593231423
145	3.588411575
146	3.584414252
147	3.577165103
148	3.57123448
149	3.567619252
150	3.564201623
151	3.558120234
152	3.55443292
153	3.551507478
154	3.547522674
155	3.544161695
156	3.538375814
157	3.532921017
158	3.525092279
159	3.522738459
160	3.519147521
161	3.516550431
162	3.511374482
163	3.506685772
164	3.499472721
165	3.496530516
166	3.493510259
167	3.490944657
168	3.488227057
169	3.484044674
170	3.482555809
171	3.479250165
172	3.47487442
173	3.470098636
174	3.462953374
175	3.455059543
176	3.453234328
177	3.451027121
178	3.445497709
179	3.442352453
180	3.440791261
181	3.437498517
182	3.432987516
183	3.431029005
184	3.423309282
185	3.420650236
186	3.414344571
187	3.409596273
188	3.406502745
189	3.404387464
190	3.401560923
191	3.398436866
192	3.395973883
193	3.39386561
194	3.390964181
195	3.388619832
196	3.384027215
197	3.379612132
198	3.377280277
199	3.372715597
200	3.370747883
201	3.366606786
202	3.363932935
203	3.359199413
204	3.357508181
205	3.356142638
206	3.354048258
207	3.350151885
208	3.34872837
209	3.345893918
210	3.340709517
211	3.338197767
212	3.33423801
213	3.329472415
214	3.32785847
215	3.325045933
216	3.322787447
217	3.319790604
218	3.315877709
219	3.313645728
220	3.31063762
221	3.308712561
222	3.307396676
223	3.305805969
224	3.299492063
225	3.297513935
226	3.295715777
227	3.289759187
228	3.286036194
229	3.28417998
230	3.280020522
231	3.27763105
232	3.274997405
233	3.273166867
234	3.27124655
235	3.269456683
236	3.267498329
237	3.264001938
238	3.262076058
239	3.259615942
240	3.255736345
241	3.252670443
242	3.250570098
243	3.248378728
244	3.245731223
245	3.243202879
246	3.241411795
247	3.238810824
248	3.235216845
249	3.233519986
250	3.231056902
251	3.22903314
252	3.223886172
253	3.221434711
254	3.219170273
255	3.217274018
256	3.213914339
257	3.211919157
258	3.210241837
259	3.208355418
260	3.206091484
261	3.200898029
262	3.199179565
263	3.197678059
264	3.196165372
265	3.193054975
266	3.191098481
267	3.188722815
268	3.185768256
269	3.18106901
270	3.179259883
271	3.177826346
272	3.175010611
273	3.172307599
274	3.170943856
275	3.16945128
276	3.167458877
277	3.165320409
278	3.162838305
279	3.160875572
280	3.15931992
281	3.155666246
282	3.154064535
283	3.152492865
284	3.150957587
285	3.14828187
286	3.146390465
287	3.14425679
288	3.142003818
289	3.140740162
290	3.135595564
291	3.134212119
292	3.13085724
293	3.129302099
294	3.126257289
295	3.124471823
296	3.122343704
297	3.119440066
298	3.117891284
299	3.116131083
300	3.113291382
301	3.112223815
302	3.111027833
303	3.109785138
304	3.108852797
305	3.105155982
306	3.102522551
307	3.100520666
308	3.098610538
309	3.095212445
310	3.093374571
311	3.090896865
312	3.089436564
313	3.087857745
314	3.086167985
315	3.085015202
316	3.082149761
317	3.081182328
318	3.079869343
319	3.075540813
320	3.074332211
321	3.072270652
322	3.070883438
323	3.069404905
324	3.06656599
325	3.063811068
326	3.062024901
327	3.058722065
328	3.056933064
329	3.054989783
330	3.053632083
331	3.051965843
332	3.050371517
333	3.048769051
334	3.04749756
335	3.045596841
336	3.044382093
337	3.042679045
338	3.041380125
339	3.039989794
340	3.038615659
341	3.036437139
342	3.034709471
343	3.033809018
344	3.032540013
345	3.031526066
346	3.029531698
347	3.027191425
348	3.02573028
349	3.024547541
350	3.023053686
351	3.022050495
352	3.020101622
353	3.017197072
354	3.015745393
355	3.012840089
356	3.011533621
357	3.0093126
358	3.007494514
359	3.00630904
360	3.005371727
361	3.003847341
362	3.001394023
363	2.998467349
364	2.996646707
365	2.993300483
366	2.991953674
367	2.990747579
368	2.987586618
369	2.985751795
370	2.984295678
371	2.98270857
372	2.981393452
373	2.979900074
374	2.978060651
375	2.976752273
376	2.975266096
377	2.97418035
378	2.972844226
379	2.970177913
380	2.969103479
381	2.96738107
382	2.966251363
383	2.963946663
384	2.962384102
385	2.959885363
386	2.958785095
387	2.956913128
388	2.954906256
389	2.953076766
390	2.950877478
391	2.949954908
392	2.948400734
393	2.947242108
394	2.945031362
395	2.943422227
396	2.941448866
397	2.940084739
398	2.938719126
399	2.937362979
400	2.936119304
401	2.934191501
402	2.933041961
403	2.932071415
404	2.930821546
405	2.9288993
406	2.927309085
407	2.925649211
408	2.924113496
409	2.922213032
410	2.920939013
411	2.919243323
412	2.917692247
413	2.916511041
414	2.915381961
415	2.913755197
416	2.912453264
417	2.910750559
418	2.909236237
419	2.907894102
420	2.906607127
421	2.905199719
422	2.903865699
423	2.902270853
424	2.90102439
425	2.899122306
426	2.898164897
427	2.897338194
428	2.895930877
429	2.894291522
430	2.893180572
431	2.89222548
432	2.890691612
433	2.889950244
434	2.888097071
435	2.887328625
436	2.884723784
437	2.882621952
438	2.881292627
439	2.880494197
440	2.878911692
441	2.877279203
442	2.87586116
443	2.874801486
444	2.873172504
445	2.872011495
446	2.870433434
447	2.868562357
448	2.867347752
449	2.866358571
450	2.865101113
451	2.863383549
452	2.862486573
453	2.861689897
454	2.860448578
455	2.859401113
456	2.858381256
457	2.857351637
458	2.855441846
459	2.854130729
460	2.852937975
461	2.851353584
462	2.849695641
463	2.848522478
464	2.846609279
465	2.845090477
466	2.843961271
467	2.84304233
468	2.842189057
469	2.840680652
470	2.839779001
471	2.838102307
472	2.837256322
473	2.836023794
474	2.834758855
475	2.833256138
476	2.832044728
477	2.830468561
478	2.829865971
479	2.828162253
480	2.826932749
481	2.825976191
482	2.824614331
483	2.823235792
484	2.821844154
485	2.820777494
486	2.81956511
487	2.817891268
488	2.816673911
489	2.815860607
490	2.814741063
491	2.813402388
492	2.811214476
493	2.810385248
494	2.808880106
495	2.807777366
496	2.806769079
497	2.805549099
498	2.803971046
499	2.802515551
500	2.800986144
501	2.800247291
502	2.798851317
503	2.797837155
504	2.796875749
505	2.795984773
506	2.794885508
507	2.793923124
508	2.792742265
509	2.790841346
510	2.789119015
511	2.788013236
512	2.786708541
513	2.785270842
514	2.783969333
515	2.783148122
516	2.7825127
517	2.781717555
518	2.780688029
519	2.779393643
520	2.778304049
521	2.776719766
522	2.775710205
523	2.774714173
524	2.773677588
525	2.772182846
526	2.771124584
527	2.769533404
528	2.7685417
529	2.767293176
530	2.766063443
531	2.765130884
532	2.763809335
533	2.763157937
534	2.762358802
535	2.76131581
536	2.760034737
537	2.75891883
538	2.758181053
539	2.757534448
540	2.756691058
541	2.755236456
542	2.753523262
543	2.752419994
544	2.750906885
545	2.749159799
546	2.747700294
547	2.746314755
548	2.745780317
549	2.74493481
550	2.744221719
551	2.743199973
552	2.74222754
553	2.74094134
554	2.739487065
555	2.738588369
556	2.738017881
557	2.736708052
558	2.735591997
559	2.734454646
560	2.733361192
561	2.732052398
562	2.731326536
563	2.730687733
564	2.729263802
565	2.728408312
566	2.727549103
567	2.726698798
568	2.725740293
569	2.724823363
570	2.723963174
571	2.722811585
572	2.721908772
573	2.720632485
574	2.719844177
575	2.71890253
576	2.717852387
577	2.717139593
578	2.71616719
579	2.714578872
580	2.713627391
581	2.71308504
582	2.712278142
583	2.710793121
584	2.70959889
585	2.70880567
586	2.708041816
587	2.707087481
588	2.705686128
589	2.70428876
590	2.703116372
591	2.702384805
592	2.701119778
593	2.699998545
594	2.699204945
595	2.698247011
596	2.69751404
597	2.696641206
598	2.695640431
599	2.694066511
600	2.69327425
601	2.692611725
602	2.691181047
603	2.690437663
604	2.689824067
605	2.688509977
606	2.686866834
607	2.685363546
608	2.684546056
609	2.683834908
610	2.683201545
611	2.682286195
612	2.681350691
613	2.6806608
614	2.679915842
615	2.679266363
616	2.678593033
617	2.677744342
618	2.677004985
619	2.676121516
620	2.674719612
621	2.674066749
622	2.673224776
623	2.672804669
624	2.671514918
625	2.670822867
626	2.670205091
627	2.669393583
628	2.668180465
629	2.667473303
630	2.666617604
631	2.665948885
632	2.66531368
633	2.664144321
634	2.663623977
635	2.662734044
636	2.661301667
637	2.660657823
638	2.660153175
639	2.659138106
640	2.657792925
641	2.656912427
642	2.656187602
643	2.654759564
644	2.653958419
645	2.652234749
646	2.651105759
647	2.650332676
648	2.649877666
649	2.648865256
650	2.648204845
651	2.647566568
652	2.646963971
653	2.646175897
654	2.645428868
655	2.643955492
656	2.643022912
657	2.641940759
658	2.641402047
659	2.640585979
660	2.639802098
661	2.638576499
662	2.63723581
663	2.636112526
664	2.634965748
665	2.634271564
666	2.63306048
667	2.632485277
668	2.631481874
669	2.63037273
670	2.629055458
671	2.628542725
672	2.627245682
673	2.626282793
674	2.625513561
675	2.624984818
676	2.624082181
677	2.623013826
678	2.622604392
679	2.621279663
680	2.620555203
681	2.619529556
682	2.61821799
683	2.617699794
684	2.617035792
685	2.616559074
686	2.615627306
687	2.615043901
688	2.613998328
689	2.61295592
690	2.612108401
691	2.610728402
692	2.610284787
693	2.609289671
694	2.608523752
695	2.607679479
696	2.606809872
697	2.605647971
698	2.604661255
699	2.603819405
