iter	Passed	Remaining
0	143	100103
1	147	51489
2	152	35355
3	155	27131
4	159	22120
5	161	18705
6	164	16313
7	167	14499
8	170	13104
9	174	12009
10	177	11086
11	179	10319
12	183	9691
13	186	9139
14	189	8662
15	192	8249
16	195	7872
17	199	7558
18	202	7251
19	205	6983
20	208	6738
21	211	6522
22	215	6329
23	218	6141
24	221	5969
25	224	5812
26	226	5657
27	230	5526
28	233	5395
29	236	5274
30	239	5173
31	243	5075
32	246	4976
33	249	4888
34	252	4797
35	256	4722
36	259	4645
37	262	4578
38	265	4507
39	269	4438
40	272	4380
41	275	4315
42	278	4253
43	281	4194
44	284	4138
45	287	4090
46	290	4042
47	294	3994
48	297	3947
49	299	3898
50	302	3855
51	306	3813
52	309	3773
53	312	3737
54	315	3699
55	318	3660
56	321	3626
57	324	3592
58	327	3562
59	331	3531
60	334	3500
61	337	3471
62	340	3443
63	344	3421
64	347	3391
65	350	3363
66	353	3340
67	356	3312
68	359	3289
69	362	3263
70	365	3238
71	368	3216
72	371	3193
73	374	3170
74	378	3150
75	381	3130
76	384	3111
77	387	3090
78	390	3069
79	393	3050
80	396	3032
81	400	3018
82	403	2998
83	406	2980
84	409	2962
85	412	2944
86	415	2925
87	418	2907
88	421	2890
89	424	2876
90	427	2860
91	430	2845
92	434	2832
93	436	2815
94	439	2798
95	442	2785
96	445	2770
97	449	2759
98	452	2745
99	455	2732
100	458	2718
101	461	2704
102	464	2690
103	467	2677
104	470	2663
105	473	2651
106	476	2640
107	479	2629
108	483	2620
109	486	2609
110	490	2600
111	493	2589
112	496	2579
113	499	2569
114	503	2559
115	506	2550
116	509	2538
117	512	2526
118	515	2517
119	518	2506
120	521	2497
121	524	2487
122	527	2476
123	530	2465
124	533	2454
125	536	2444
126	539	2435
127	542	2425
128	545	2415
129	549	2407
130	552	2398
131	555	2389
132	558	2380
133	561	2370
134	564	2362
135	567	2353
136	570	2344
137	573	2335
138	576	2325
139	579	2317
140	582	2309
141	585	2300
142	588	2292
143	591	2284
144	594	2275
145	597	2267
146	600	2258
147	603	2249
148	606	2242
149	609	2233
150	612	2227
151	615	2220
152	618	2212
153	621	2205
154	624	2197
155	628	2190
156	631	2182
157	633	2174
158	637	2168
159	640	2161
160	643	2153
161	646	2146
162	649	2139
163	652	2133
164	655	2126
165	659	2120
166	662	2114
167	665	2107
168	669	2102
169	672	2095
170	675	2089
171	678	2083
172	681	2077
173	684	2070
174	687	2063
175	691	2057
176	694	2052
177	697	2045
178	701	2040
179	704	2034
180	707	2027
181	710	2021
182	713	2015
183	716	2008
184	719	2004
185	722	1997
186	726	1991
187	729	1985
188	732	1979
189	735	1974
190	738	1967
191	741	1962
192	744	1955
193	747	1949
194	750	1944
195	753	1938
196	756	1932
197	760	1926
198	762	1920
199	766	1915
200	768	1909
201	772	1903
202	776	1899
203	779	1894
204	782	1888
205	785	1882
206	787	1876
207	791	1871
208	794	1865
209	797	1860
210	800	1855
211	803	1849
212	806	1844
213	810	1839
214	813	1834
215	816	1829
216	819	1823
217	822	1819
218	826	1814
219	829	1809
220	833	1805
221	836	1800
222	839	1795
223	842	1789
224	845	1783
225	848	1778
226	851	1773
227	853	1767
228	857	1763
229	860	1757
230	863	1752
231	866	1748
232	869	1742
233	872	1737
234	875	1732
235	878	1727
236	882	1723
237	885	1718
238	889	1715
239	892	1710
240	895	1705
241	898	1701
242	901	1695
243	904	1690
244	907	1685
245	910	1681
246	914	1677
247	917	1672
248	920	1667
249	923	1662
250	927	1658
251	930	1653
252	933	1649
253	936	1644
254	940	1640
255	942	1635
256	945	1630
257	949	1625
258	951	1620
259	955	1616
260	958	1611
261	961	1607
262	964	1602
263	967	1597
264	971	1593
265	974	1589
266	977	1584
267	980	1580
268	984	1576
269	988	1573
270	990	1568
271	994	1565
272	998	1561
273	1001	1556
274	1004	1552
275	1007	1548
276	1011	1544
277	1014	1539
278	1017	1534
279	1020	1530
280	1023	1526
281	1026	1522
282	1029	1517
283	1032	1513
284	1036	1508
285	1039	1504
286	1042	1500
287	1046	1496
288	1049	1492
289	1052	1487
290	1055	1483
291	1058	1478
292	1060	1473
293	1063	1469
294	1066	1464
295	1069	1460
296	1072	1455
297	1076	1451
298	1079	1447
299	1082	1442
300	1085	1439
301	1088	1434
302	1091	1430
303	1094	1425
304	1097	1421
305	1100	1416
306	1103	1412
307	1106	1408
308	1109	1404
309	1112	1399
310	1116	1396
311	1119	1391
312	1122	1387
313	1125	1384
314	1128	1379
315	1132	1375
316	1135	1371
317	1138	1367
318	1141	1363
319	1144	1359
320	1147	1355
321	1151	1351
322	1153	1346
323	1157	1342
324	1160	1338
325	1163	1334
326	1166	1330
327	1169	1326
328	1172	1322
329	1175	1318
330	1178	1313
331	1181	1310
332	1184	1305
333	1187	1301
334	1191	1297
335	1194	1293
336	1197	1290
337	1201	1286
338	1203	1282
339	1207	1278
340	1210	1274
341	1213	1270
342	1216	1266
343	1219	1262
344	1223	1258
345	1226	1254
346	1228	1250
347	1231	1246
348	1234	1241
349	1237	1237
350	1240	1233
351	1243	1229
352	1246	1225
353	1249	1221
354	1252	1217
355	1255	1213
356	1258	1208
357	1260	1204
358	1264	1200
359	1266	1196
360	1269	1192
361	1273	1188
362	1276	1184
363	1279	1181
364	1282	1177
365	1287	1174
366	1290	1170
367	1293	1166
368	1296	1163
369	1299	1159
370	1303	1155
371	1305	1151
372	1308	1147
373	1312	1143
374	1315	1139
375	1318	1136
376	1321	1132
377	1324	1128
378	1327	1124
379	1330	1120
380	1333	1116
381	1336	1112
382	1339	1108
383	1343	1105
384	1346	1102
385	1349	1098
386	1353	1094
387	1356	1090
388	1359	1087
389	1363	1083
390	1366	1079
391	1369	1075
392	1372	1071
393	1375	1067
394	1378	1064
395	1381	1060
396	1384	1056
397	1387	1052
398	1390	1048
399	1394	1045
400	1396	1041
401	1400	1038
402	1403	1034
403	1406	1030
404	1410	1027
405	1413	1023
406	1416	1019
407	1419	1015
408	1422	1011
409	1425	1008
410	1428	1004
411	1431	1000
412	1434	997
413	1437	993
414	1440	989
415	1444	985
416	1446	981
417	1450	978
418	1453	974
419	1456	970
420	1459	967
421	1462	963
422	1465	959
423	1468	955
424	1471	952
425	1474	948
426	1477	944
427	1480	940
428	1483	937
429	1486	933
430	1489	929
431	1492	925
432	1495	922
433	1498	918
434	1501	914
435	1504	910
436	1507	907
437	1510	903
438	1513	899
439	1516	896
440	1519	892
441	1522	888
442	1525	885
443	1528	881
444	1532	878
445	1535	874
446	1538	870
447	1541	867
448	1545	863
449	1548	860
450	1551	856
451	1554	852
452	1557	849
453	1560	845
454	1563	842
455	1566	838
456	1569	834
457	1572	830
458	1575	827
459	1578	823
460	1581	820
461	1584	816
462	1587	812
463	1590	809
464	1593	805
465	1596	801
466	1599	798
467	1602	794
468	1605	790
469	1608	787
470	1611	783
471	1614	779
472	1617	776
473	1620	772
474	1623	768
475	1626	765
476	1629	761
477	1632	758
478	1635	754
479	1638	751
480	1641	747
481	1644	743
482	1647	740
483	1650	736
484	1654	733
485	1657	729
486	1660	726
487	1663	722
488	1666	719
489	1670	715
490	1673	712
491	1677	709
492	1680	705
493	1684	702
494	1687	698
495	1690	695
496	1693	691
497	1696	688
498	1699	684
499	1702	681
500	1705	677
501	1708	674
502	1712	670
503	1715	667
504	1718	663
505	1721	660
506	1724	656
507	1728	653
508	1731	649
509	1735	646
510	1738	642
511	1741	639
512	1745	636
513	1748	632
514	1752	629
515	1755	625
516	1759	622
517	1762	619
518	1765	615
519	1768	612
520	1771	608
521	1775	605
522	1779	602
523	1782	598
524	1785	595
525	1788	591
526	1792	588
527	1795	584
528	1798	581
529	1802	578
530	1805	574
531	1809	571
532	1812	568
533	1816	564
534	1819	561
535	1823	557
536	1827	554
537	1830	551
538	1833	547
539	1836	544
540	1840	540
541	1843	537
542	1846	533
543	1850	530
544	1853	527
545	1857	523
546	1860	520
547	1863	516
548	1866	513
549	1869	509
550	1872	506
551	1875	502
552	1878	499
553	1882	496
554	1885	492
555	1889	489
556	1891	485
