item,time_slot,quantity,timestamp,day_of_week,peak_hour,is_prebooking,prebooking_date,prebooking_time
idli,10,1,1774767343,0,1,0,,
poori,13,1,1775285052,6,1,0,,
poori,9,1,1775282519,6,0,0,,
idli,10,2,1775197907,5,1,0,,
vada,11,2,1774765706,0,0,0,,
dosa,19,1,1775197474,5,1,1,2026-04-03,03:24:34
dosa,9,1,1774766887,0,1,0,,
idli,9,1,1775282442,6,1,0,,
dosa,19,1,1775112550,4,1,1,2026-04-02,01:49:10
poori,16,3,1774939309,2,0,1,2026-03-31,04:41:49
dosa,9,1,1775284862,6,1,0,,
dosa,19,2,1775197512,5,1,1,2026-04-03,04:25:12
idli,10,2,1775285520,6,1,0,,
idli,14,1,1774937639,2,0,1,2026-03-31,01:13:59
dosa,11,2,1775025861,3,0,0,,
idli,9,2,1774767116,0,1,0,,
idli,8,1,1775283957,6,1,0,,
vada,17,1,1774764191,0,1,1,2026-03-29,05:03:11
idli,8,1,1775024490,3,1,0,,
vada,18,1,1774938437,2,1,1,2026-03-31,02:27:17
vada,15,2,1774937179,2,0,0,,
idli,8,1,1775199336,5,1,0,,
vada,10,3,1774767015,0,1,0,,
idli,9,1,1775284704,6,1,0,,
vada,17,3,1775198246,5,1,0,,
idli,21,3,1774850661,1,0,1,2026-03-30,01:04:21
poori,13,1,1775198509,5,1,1,2026-04-03,05:41:49
poori,14,2,1775111366,4,1,1,2026-04-02,01:29:26
poori,13,1,1775111995,4,1,1,2026-04-02,03:39:55
vada,11,2,1774765223,0,1,0,,
dosa,8,2,1774852109,1,1,0,,
poori,13,2,1775196703,5,1,0,,
idli,13,1,1775198256,5,0,0,,
vada,18,1,1774940358,2,1,1,2026-03-31,02:59:18
poori,16,1,1775196648,5,0,0,,
vada,17,1,1775198143,5,1,0,,
dosa,10,2,1774764802,0,0,0,,
vada,10,1,1775111148,4,1,0,,
vada,12,2,1775023882,3,0,1,2026-04-01,01:11:22
vada,17,2,1774937736,2,1,1,2026-03-31,02:15:36
idli,15,1,1775197471,5,0,0,,
vada,11,3,1774765300,0,1,0,,
idli,9,2,1774937019,2,1,0,,
poori,12,1,1775283419,6,1,1,2026-04-04,05:16:59
idli,11,1,1774852252,1,0,0,,
idli,22,3,1774767093,0,0,0,,
poori,13,1,1774938106,2,1,1,2026-03-31,05:21:46
poori,22,1,1775198494,5,0,1,2026-04-03,04:41:34
poori,18,3,1774851027,1,0,1,2026-03-30,01:10:27
idli,14,1,1774766233,0,0,0,,
poori,15,2,1775284704,6,0,0,,
idli,9,2,1775025117,3,1,0,,
idli,9,1,1775198753,5,1,0,,
poori,13,1,1774851556,1,1,1,2026-03-30,01:19:16
idli,9,1,1775284768,6,1,0,,
dosa,19,3,1774852363,1,1,1,2026-03-30,03:32:43
poori,13,1,1774765166,0,1,0,,
poori,13,1,1774767058,0,1,1,2026-03-29,03:50:58
idli,15,1,1775110092,4,0,1,2026-04-02,03:08:12
poori,12,1,1775196931,5,0,1,2026-04-03,04:15:31
vada,17,1,1775197367,5,1,0,,
idli,9,2,1775026560,3,1,0,,
vada,18,2,1775285111,6,1,0,,
poori,11,1,1775283843,6,0,0,,
dosa,13,1,1774765858,0,0,1,2026-03-29,01:30:58
dosa,8,3,1775283055,6,1,0,,
dosa,19,2,1774938270,2,1,1,2026-03-31,03:24:30
dosa,9,2,1775025873,3,0,0,,
idli,10,1,1775025843,3,0,0,,
dosa,14,3,1775023797,3,0,0,,
poori,13,1,1775111499,4,1,1,2026-04-02,04:31:39
dosa,9,1,1775024485,3,1,0,,
poori,13,1,1774850992,1,1,1,2026-03-30,02:09:52
poori,12,2,1775110070,4,1,0,,
poori,12,3,1775196256,5,1,0,,
poori,14,2,1774937933,2,1,0,,
idli,9,1,1775023843,3,1,0,,
idli,10,3,1774853433,1,1,0,,
dosa,8,2,1774939887,2,1,0,,
dosa,20,1,1775110629,4,1,1,2026-04-02,04:17:09
idli,9,1,1775282450,6,0,0,,
vada,22,1,1774764262,0,0,1,2026-03-29,03:04:22
poori,14,2,1774853385,1,1,1,2026-03-30,01:49:45
dosa,9,2,1775284579,6,1,0,,
poori,14,3,1775113071,4,1,1,2026-04-02,04:57:51
idli,8,1,1774765772,0,0,0,,
vada,10,1,1775284001,6,1,0,,
idli,9,1,1774939201,2,1,0,,
dosa,23,1,1774765112,0,0,0,,
poori,12,1,1774853353,1,1,0,,
poori,12,1,1775196802,5,1,0,,
poori,13,1,1775025494,3,1,1,2026-04-01,05:38:14
idli,9,3,1774853869,1,1,0,,
idli,9,1,1774851735,1,1,0,,
vada,8,1,1774764411,0,0,0,,
dosa,19,2,1775285638,6,1,1,2026-04-04,01:53:58
idli,8,2,1775283418,6,0,0,,
dosa,12,2,1775026516,3,0,1,2026-04-01,04:55:16
dosa,8,1,1774765272,0,1,0,,
vada,18,1,1775197199,5,0,1,2026-04-03,02:19:59
dosa,20,1,1775110146,4,1,0,,
idli,8,1,1775283200,6,1,0,,
vada,18,2,1775285331,6,1,1,2026-04-04,03:48:51
poori,11,2,1774765357,0,0,0,,
poori,10,1,1775196640,5,0,0,,
vada,10,1,1774853365,1,1,0,,
vada,18,2,1775112119,4,1,0,,
poori,12,2,1774853692,1,1,0,,
idli,10,3,1774765446,0,1,0,,
idli,10,3,1774766087,0,1,0,,
idli,10,2,1774853462,1,1,0,,
idli,11,1,1774853509,1,0,0,,
vada,10,1,1774852730,1,1,0,,
poori,12,2,1774937660,2,1,1,2026-03-31,04:14:20
dosa,20,3,1774938958,2,1,0,,
idli,8,1,1775284454,6,1,0,,
vada,10,2,1774853266,1,1,0,,
dosa,8,1,1775024970,3,1,0,,
poori,12,1,1774853967,1,1,1,2026-03-30,02:59:27
vada,11,1,1775023624,3,1,0,,
idli,23,2,1775285568,6,0,1,2026-04-04,03:52:48
idli,8,2,1774939099,2,1,0,,
idli,8,1,1775198904,5,1,0,,
poori,9,1,1774853828,1,0,0,,
dosa,9,1,1774851816,1,1,0,,
idli,9,1,1774765623,0,1,0,,
idli,9,1,1774853200,1,1,0,,
dosa,20,1,1775024272,3,1,1,2026-04-01,05:17:52
dosa,19,1,1774853636,1,1,1,2026-03-30,03:53:56
idli,12,1,1774767471,0,0,0,,
idli,9,1,1774766008,0,1,0,,
poori,17,1,1775110909,4,0,0,,
poori,13,2,1774764538,0,0,0,,
vada,18,1,1775196182,5,1,0,,
vada,18,1,1775111521,4,1,0,,
idli,9,3,1774939955,2,1,0,,
dosa,13,1,1775112088,4,0,0,,
idli,17,1,1775026416,3,0,1,2026-04-01,04:53:36
idli,11,3,1774938725,2,0,0,,
dosa,20,1,1774940112,2,1,1,2026-03-31,02:55:12
vada,10,3,1774851630,1,1,0,,
vada,17,1,1774938329,2,1,1,2026-03-31,04:25:29
idli,18,1,1775285068,6,0,0,,
poori,23,2,1775113059,4,0,1,2026-04-02,04:57:39
poori,14,1,1775198986,5,1,1,2026-04-03,03:49:46
idli,10,3,1775197556,5,1,0,,
poori,12,3,1775284465,6,1,1,2026-04-04,04:34:25
poori,14,1,1775285340,6,1,1,2026-04-04,04:49:00
vada,11,2,1774853706,1,1,0,,
dosa,23,2,1775112472,4,0,1,2026-04-02,03:47:52
idli,15,2,1775112844,4,0,0,,
idli,14,1,1775110109,4,0,1,2026-04-02,01:08:29
idli,19,1,1774764492,0,0,0,,
vada,23,1,1775284736,6,0,1,2026-04-04,05:38:56
poori,13,3,1775198630,5,1,1,2026-04-03,02:43:50
idli,10,1,1775284770,6,1,0,,
dosa,8,1,1775284795,6,0,0,,
dosa,20,1,1774764698,0,1,1,2026-03-29,04:11:38
vada,18,1,1774940268,2,1,1,2026-03-31,04:57:48
vada,17,2,1774852712,1,1,0,,
poori,20,1,1774937445,2,0,1,2026-03-31,01:10:45
vada,17,1,1774767468,0,1,0,,
vada,10,2,1775285443,6,1,0,,
dosa,19,1,1774936965,2,1,0,,
dosa,20,1,1774765311,0,1,1,2026-03-29,01:21:51
vada,16,2,1774851413,1,0,0,,
vada,10,1,1774938110,2,1,0,,
dosa,8,2,1774850797,1,1,0,,
vada,18,1,1774850698,1,1,0,,
poori,14,2,1774937010,2,1,1,2026-03-31,04:03:30
vada,22,1,1774852180,1,0,1,2026-03-30,01:29:40
dosa,19,1,1774939929,2,1,0,,
vada,10,3,1775110922,4,0,0,,
dosa,20,3,1775024651,3,1,0,,
idli,8,2,1775024796,3,0,0,,
vada,9,2,1775023817,3,0,0,,
dosa,13,2,1775282563,6,0,1,2026-04-04,02:02:43
vada,17,1,1774850414,1,1,1,2026-03-30,02:00:14
poori,18,1,1775284144,6,0,0,,
idli,10,3,1775026061,3,1,0,,
vada,17,3,1775199071,5,1,0,,
dosa,20,2,1775111163,4,1,1,2026-04-02,02:26:03
vada,18,1,1775026458,3,1,0,,
poori,12,2,1775025776,3,1,0,,
dosa,20,1,1775111419,4,1,0,,
idli,20,1,1774938736,2,0,0,,
vada,10,3,1775199154,5,1,0,,
poori,13,1,1774852040,1,1,0,,
vada,10,3,1774937648,2,1,0,,
poori,13,1,1775023321,3,1,1,2026-04-01,05:02:01
idli,12,3,1775113044,4,0,1,2026-04-02,01:57:24
vada,10,2,1775024669,3,1,0,,
idli,10,2,1774765258,0,1,0,,
idli,8,3,1774939379,2,1,0,,
vada,18,3,1775025995,3,0,1,2026-04-01,04:46:35
dosa,8,3,1775199119,5,1,0,,
dosa,19,2,1774940238,2,1,0,,
idli,16,1,1774939944,2,0,0,,
poori,8,2,1775285196,6,0,0,,
vada,18,1,1774938957,2,1,1,2026-03-31,02:35:57
poori,14,1,1775199404,5,1,1,2026-04-03,04:56:44
vada,22,1,1775284238,6,0,1,2026-04-04,02:30:38
dosa,20,1,1774850579,1,1,0,,
vada,12,1,1774764650,0,0,0,,
vada,18,2,1775284048,6,1,1,2026-04-04,02:27:28
vada,11,3,1774767491,0,1,0,,
poori,12,2,1775285758,6,1,1,2026-04-04,01:55:58
idli,9,1,1774937026,2,1,0,,
dosa,8,1,1775111854,4,1,0,,
dosa,20,1,1774937605,2,1,1,2026-03-31,04:13:25
poori,13,1,1775197606,5,1,1,2026-04-03,04:26:46
poori,12,1,1775025387,3,1,1,2026-04-01,01:36:27
dosa,20,3,1774764909,0,1,0,,
idli,10,1,1774851551,1,1,0,,
poori,12,1,1775199299,5,1,1,2026-04-03,02:54:59
vada,10,1,1774850457,1,1,0,,
dosa,8,2,1775026130,3,1,0,,
dosa,15,2,1775024815,3,0,1,2026-04-01,05:26:55
poori,21,2,1774853697,1,0,0,,
poori,12,1,1775197144,5,1,0,,
poori,12,1,1774766938,0,1,1,2026-03-29,03:48:58
vada,10,1,1775025556,3,1,0,,
poori,14,2,1774765675,0,1,1,2026-03-29,04:27:55
dosa,12,1,1774939811,2,0,1,2026-03-31,03:50:11
vada,17,1,1775111372,4,1,0,,
vada,15,2,1775025184,3,0,1,2026-04-01,04:33:04
vada,18,3,1774766306,0,0,1,2026-03-29,05:38:26
poori,16,1,1775198170,5,0,0,,
poori,13,1,1774853166,1,1,1,2026-03-30,02:46:06
dosa,19,1,1774852771,1,1,0,,
dosa,19,1,1774939483,2,1,1,2026-03-31,02:44:43
poori,13,1,1775285145,6,1,1,2026-04-04,03:45:45
dosa,8,1,1774766020,0,1,0,,
poori,13,2,1775284325,6,1,1,2026-04-04,01:32:05
dosa,9,1,1774939052,2,1,0,,
dosa,17,3,1774766723,0,0,0,,
idli,10,1,1774767401,0,0,0,,
idli,8,2,1775112712,4,1,0,,
poori,12,2,1775285656,6,1,0,,
idli,23,2,1774766953,0,0,1,2026-03-29,02:49:13
vada,18,1,1775111778,4,1,0,,
poori,12,2,1775024855,3,1,0,,
poori,14,2,1775110528,4,0,0,,
idli,11,1,1775197625,5,0,0,,
vada,17,2,1775112002,4,1,1,2026-04-02,05:40:02
dosa,15,2,1775196713,5,0,0,,
poori,9,2,1774937491,2,0,0,,
poori,12,2,1774938844,2,1,0,,
idli,10,1,1775284721,6,1,0,,
dosa,9,2,1775112155,4,1,0,,
poori,15,1,1774937369,2,0,1,2026-03-31,04:09:29
idli,10,1,1774765184,0,1,0,,
poori,14,1,1775197755,5,1,0,,
vada,17,1,1775283410,6,1,1,2026-04-04,01:16:50
